Precinct_name,precinct,Phone,Address,City,State,Country,Full Address,Zipcode
1st Precinct,1,212-334-0611,16 Ericsson Place,New York,NY,United States,"16 Ericsson Place, New York, NY",10013
5th Precinct,5,212-334-0711,19 Elizabeth Street,New York,NY,United States,"19 Elizabeth Street, New York, NY",10013
6th Precinct,6,212-741-4811,233 West 10 Street,New York,NY,United States,"233 West 10 Street, New York, NY",10014
7th Precinct,7,212-477-7311,19 1/2 Pitt Street,New York,NY,United States,"19 1/2 Pitt Street, New York, NY",10002
9th Precinct,9,212-477-7811,321 East 5 Street,New York,NY,United States,"321 East 5 Street, New York, NY",10003
10th Precinct,10,212-741-8211,230 West 20th Street,New York,NY,United States,"230 West 20th Street, New York, NY",10011
13th Precinct,13,212-477-7411,230 East 21st Street,New York,NY,United States,"230 East 21st Street, New York, NY",10010
Midtown South Precinct,14,212-239-9811,357 West 35th Street,New York,NY,United States,"357 West 35th Street, New York, NY",10001
17th Precinct,17,212-826-3211,167 East 51st Street,New York,NY,United States,"167 East 51st Street, New York, NY",10022
Midtown North Precinct,18,212-767-8400,306 West 54th Street,New York,NY,United States,"306 West 54th Street, New York, NY",10019
19th Precinct,19,212-452-0600,153 East 67th Street,New York,NY,United States,"153 East 67th Street, New York, NY",10065
20th Precinct,20,212-580-6411,120 West 82nd Street,New York,NY,United States,"120 West 82nd Street, New York, NY",10024
Central Park Precinct,22,212-570-4820,86th St Transverse Rd,New York,NY,United States,"86th St Transverse Rd, New York, NY",83
23rd Precinct,23,212-860-6411,164 East 102nd Street,New York,NY,United States,"164 East 102nd Street, New York, NY",10029
24th Precinct,24,212-678-1811,151 West 100th Street,New York,NY,United States,"151 West 100th Street, New York, NY",10025
25th Precinct,25,212-860-6511,120 East 119th Street,New York,NY,United States,"120 East 119th Street, New York, NY",10035
26th Precinct,26,212-678-1311,520 West 126th Street,New York,NY,United States,"520 West 126th Street, New York, NY",10027
28th Precinct,28,212-678-1611,2271-89 8th Avenue,New York,NY,United States,"2271-89 8th Avenue, New York, NY",10027
30th Precinct,30,212-690-8811,451 West 151st Street,New York,NY,United States,"451 West 151st Street, New York, NY",10031
32nd Precinct,32,212-690-6311,250 West 135th Street,New York,NY,United States,"250 West 135th Street, New York, NY",10030
33rd Precinct,33,212-927-3200,2207 Amsterdam Avenue,New York,NY,United States,"2207 Amsterdam Avenue, New York, NY",10032
34th Precinct,34,212-927-9711,4295 Broadway,New York,NY,United States,"4295 Broadway, New York, NY",10033
40th Precinct,40,718-402-2270,257 Alexander Avenue,Bronx,NY,United States,"257 Alexander Avenue, Bronx, NY",10454
41st Precinct,41,718-542-4771,1035 Longwood Avenue,Bronx,NY,United States,"1035 Longwood Avenue, Bronx, NY",10459
42nd Precinct,42,718-402-3887,830 Washington Avenue,Bronx,NY,United States,"830 Washington Avenue, Bronx, NY",10451
43rd Precinct,43,718-542-0888,900 Fteley Avenue,Bronx,NY,United States,"900 Fteley Avenue, Bronx, NY",10473
44th Precinct,44,718-590-5511,2 East 169th Street,Bronx,NY,United States,"2 East 169th Street, Bronx, NY",10452
45th Precinct,45,718-822-5411,2877 Barkley Avenue,Bronx,NY,United States,"2877 Barkley Avenue, Bronx, NY",10465
46th Precinct,46,718-220-5211,2120 Ryer Avenue,Bronx,NY,United States,"2120 Ryer Avenue, Bronx, NY",10457
47th Precinct,47,718-920-1211,4111 Laconia Avenue,Bronx,NY,United States,"4111 Laconia Avenue, Bronx, NY",10466
48th Precinct,48,718-299-3900,450 Cross Bronx Expressway,Bronx,NY,United States,"450 Cross Bronx Expressway, Bronx, NY",10457
49th Precinct,49,718-918-2000,2121 Eastchester Road,Bronx,NY,United States,"2121 Eastchester Road, Bronx, NY",10461
50th Precinct,50,718-543-5700,3450 Kingsbridge Avenue,Bronx,NY,United States,"3450 Kingsbridge Avenue, Bronx, NY",10463
52nd Precinct,52,718-220-5811,3016 Webster Avenue,Bronx,NY,United States,"3016 Webster Avenue, Bronx, NY",10467
60th Precinct,60,718-946-3311,2951 West 8th Street,Brooklyn,NY,United States,"2951 West 8th Street, Brooklyn, NY",11224
61st Precinct,61,718-627-6611,2575 Coney Island Avenue,Brooklyn,NY,United States,"2575 Coney Island Avenue, Brooklyn, NY",11223
62nd Precinct,62,718-236-2611,1925 Bath Avenue,Brooklyn,NY,United States,"1925 Bath Avenue, Brooklyn, NY",11214
63rd Precinct,63,718-258-4411,1844 Brooklyn Avenue,Brooklyn,NY,United States,"1844 Brooklyn Avenue, Brooklyn, NY",11210
